id SMILES S0S1 S0T1 T1S1 OS
176 CNC1=CC=C2C=CN=C3N=CN=C1N23 1.821866 1.731844 0.090022 0.010764
177 CNC1=CN=C2N=CN=C3C=CC=C1N23 1.823344 1.894888 -0.071544 0.004397
178 C=CC1=CC2=CC=NC3=NC=NC(=C1)N23 1.806996 1.905545 -0.098549 0.00611
179 C=CC1=NC2=NC=NC3=CC=CC(=C1)N23 1.862375 1.946068 -0.083693 0.013399
180 C=CC1=NC2=CC=CC3=CC=NC(=N1)N23 1.795107 1.939727 -0.14462 0.003129
181 C=CC1=CC=C2N=CN=C3N=CC=C1N23 1.811802 1.933179 -0.121377 0.005159
182 C=CC1=CC=C2C=CN=C3N=CN=C1N23 1.756959 1.849627 -0.092668 0.012169
183 C=CC1=CN=C2N=CN=C3C=CC=C1N23 1.821056 1.941304 -0.120248 0.001532
184 C#CC1=CC2=CC=NC3=NC=NC(=C1)N23 1.754005 1.849645 -0.09564 0.007089
185 C#CC1=NC2=NC=NC3=CC=CC(=C1)N23 1.79664 1.878428 -0.081788 0.008667
186 C#CC1=NC2=CC=CC3=CC=NC(=N1)N23 1.771864 1.906444 -0.13458 0.002029
187 C#CC1=CC=C2N=CN=C3N=CC=C1N23 1.840393 1.974439 -0.134046 0.005814
188 C#CC1=CC=C2C=CN=C3N=CN=C1N23 1.805377 1.923662 -0.118285 0.010482
189 C#CC1=CN=C2N=CN=C3C=CC=C1N23 1.835971 1.974319 -0.138348 0.001147
190 [C-]#[N+]C1=CC2=CC=NC3=NC=NC(=C1)N23 1.778641 1.890656 -0.112015 0.006699
191 [C-]#[N+]C1=NC2=NC=NC3=CC=CC(=C1)N23 1.823409 1.928674 -0.105265 0.0066
192 [C-]#[N+]C1=NC2=CC=CC3=CC=NC(=N1)N23 1.853621 1.978396 -0.124775 0.003028
193 [C-]#[N+]C1=CC=C2N=CN=C3N=CC=C1N23 1.827135 1.963232 -0.136097 0.005306
194 [C-]#[N+]C1=CC=C2C=CN=C3N=CN=C1N23 1.817019 1.935912 -0.118893 0.009173
195 [C-]#[N+]C1=CN=C2N=CN=C3C=CC=C1N23 1.852306 1.983041 -0.130735 0.001082
196 N#CC1=CC2=CC=NC3=NC=NC(=C1)N23 1.701869 1.7647 -0.062831 0.008728
197 N#CC1=NC2=NC=NC3=CC=CC(=C1)N23 1.799948 1.843007 -0.043059 0.00532
198 N#CC1=NC2=CC=CC3=CC=NC(=N1)N23 1.770347 1.884723 -0.114376 0.001962
199 N#CC1=CC=C2N=CN=C3N=CC=C1N23 1.902344 2.042587 -0.140243 0.004702
200 N#CC1=CC=C2C=CN=C3N=CN=C1N23 1.848964 1.98278 -0.133816 0.01037
201 N#CC1=CN=C2N=CN=C3C=CC=C1N23 1.894139 2.052798 -0.158659 0.000542
202 CN(C)C1=CC2=CC=NC3=NC=NC(=C1)N23 2.195885 2.338566 -0.142681 0.000822
203 CN(C)C1=NC2=NC=NC3=CC=CC(=C1)N23 2.145184 2.222403 -0.077219 0.023229
204 CN(C)C1=NC2=CC=CC3=CC=NC(=N1)N23 2.220383 2.238172 -0.017789 0.02425
205 CN(C)C1=CC=C2N=CN=C3N=CC=C1N23 1.752293 1.854537 -0.102244 0.00612
206 CN(C)C1=CC=C2C=CN=C3N=CN=C1N23 1.783259 1.790958 -0.007699 0.009713
207 CN(C)C1=CN=C2N=CN=C3C=CC=C1N23 1.831585 1.900389 -0.068804 0.004218
208 CC1=CC2=NC=NC3=NC=NC(=C1)N23 2.139639 2.323927 -0.184288 0.001831
209 CC1=NC2=CC=CC3=NC=NC(=N1)N23 2.145542 2.312767 -0.167225 0.004194
210 CC1=CC=C2N=CN=C3N=CN=C1N23 2.075128 2.226717 -0.151589 0.00276
211 NC1=CC2=NC=NC3=NC=NC(=C1)N23 2.41261 2.609936 -0.197326 0.000829
212 NC1=NC2=CC=CC3=NC=NC(=N1)N23 2.450193 2.519815 -0.069622 0.021012
213 NC1=CC=C2N=CN=C3N=CN=C1N23 1.879117 1.895886 -0.016769 0.007341
214 CNC1=CC2=NC=NC3=NC=NC(=C1)N23 2.437035 2.625366 -0.188331 0.001351
215 CNC1=NC2=CC=CC3=NC=NC(=N1)N23 2.473372 2.535389 -0.062017 0.024018
216 CNC1=CC=C2N=CN=C3N=CN=C1N23 1.855854 1.900957 -0.045103 0.007737
217 C=CC1=CC2=NC=NC3=NC=NC(=C1)N23 2.040094 2.184819 -0.144725 0.005037
218 C=CC1=NC2=CC=CC3=NC=NC(=N1)N23 2.029046 2.200824 -0.171778 0.002765
219 C=CC1=CC=C2N=CN=C3N=CN=C1N23 2.02494 2.171792 -0.146852 0.004792
220 C#CC1=CC2=NC=NC3=NC=NC(=C1)N23 2.005619 2.141171 -0.135552 0.005409
221 C#CC1=NC2=CC=CC3=NC=NC(=N1)N23 1.999667 2.161792 -0.162125 0.003169
222 C#CC1=CC=C2N=CN=C3N=CN=C1N23 2.025078 2.190524 -0.165446 0.006137
223 [C-]#[N+]C1=CC2=NC=NC3=NC=NC(=C1)N23 2.026265 2.180567 -0.154302 0.00494
224 [C-]#[N+]C1=NC2=CC=CC3=NC=NC(=N1)N23 2.074472 2.235836 -0.161364 0.002824
225 [C-]#[N+]C1=CC=C2N=CN=C3N=CN=C1N23 2.03062 2.200552 -0.169932 0.005141
226 N#CC1=CC2=NC=NC3=NC=NC(=C1)N23 1.954489 2.05471 -0.100221 0.00699
227 N#CC1=NC2=CC=CC3=NC=NC(=N1)N23 1.9885 2.126437 -0.137937 0.00226
228 N#CC1=CC=C2N=CN=C3N=CN=C1N23 2.085263 2.267874 -0.182611 0.00538
229 CN(C)C1=CC2=NC=NC3=NC=NC(=C1)N23 2.425489 2.612843 -0.187354 0.00117
230 CN(C)C1=NC2=CC=CC3=NC=NC(=N1)N23 2.471929 2.527162 -0.055233 0.024298
231 CN(C)C1=CC=C2N=CN=C3N=CN=C1N23 1.883913 1.931367 -0.047454 0.007903
232 CC1=NC2=NC=NC3=NC=CC(=C1)N23 2.098641 2.270816 -0.172175 0.006271
233 CC1=NC2=NC=CC3=CC=NC(=N1)N23 2.080496 2.243422 -0.162926 0.005851
234 CC1=CN=C2N=CN=C3N=CC=C1N23 2.025389 2.175212 -0.149823 0.005554
