SMILES S0S1 S0T1 T1S1 OS
C=CC1=NC2=CC=CC3=NC=NC(=N1)N23 2.029046 2.200824 -0.171778 0.002765
C=CC1=CC=C2N=CN=C3N=CN=C1N23 2.024940 2.171792 -0.146852 0.004792
C#CC1=CC2=NC=NC3=NC=NC(=C1)N23 2.005619 2.141171 -0.135552 0.005409
C#CC1=NC2=CC=CC3=NC=NC(=N1)N23 1.999667 2.161792 -0.162125 0.003169
C#CC1=CC=C2N=CN=C3N=CN=C1N23 2.025078 2.190524 -0.165446 0.006137
[C-]#[N+]C1=CC2=NC=NC3=NC=NC(=C1)N23 2.026265 2.180567 -0.154302 0.004940
[C-]#[N+]C1=NC2=CC=CC3=NC=NC(=N1)N23 2.074472 2.235836 -0.161364 0.002824
[C-]#[N+]C1=CC=C2N=CN=C3N=CN=C1N23 2.030620 2.200552 -0.169932 0.005141
N#CC1=CC2=NC=NC3=NC=NC(=C1)N23 1.954489 2.054710 -0.100221 0.006990
N#CC1=NC2=CC=CC3=NC=NC(=N1)N23 1.988500 2.126437 -0.137937 0.002260
N#CC1=CC=C2N=CN=C3N=CN=C1N23 2.085263 2.267874 -0.182611 0.005380
CN(C)C1=CC2=NC=NC3=NC=NC(=C1)N23 2.425489 2.612843 -0.187354 0.001170
CN(C)C1=NC2=CC=CC3=NC=NC(=N1)N23 2.471929 2.527162 -0.055233 0.024298
CN(C)C1=CC=C2N=CN=C3N=CN=C1N23 1.883913 1.931367 -0.047454 0.007903
CC1=NC2=NC=NC3=NC=CC(=C1)N23 2.098641 2.270816 -0.172175 0.006271
CC1=NC2=NC=CC3=CC=NC(=N1)N23 2.080496 2.243422 -0.162926 0.005851
CC1=CN=C2N=CN=C3N=CC=C1N23 2.025389 2.175212 -0.149823 0.005554
NC1=NC2=NC=NC3=NC=CC(=C1)N23 2.430319 2.558100 -0.127781 0.009678
NC1=NC2=NC=CC3=CC=NC(=N1)N23 2.366122 2.421138 -0.055016 0.029238
NC1=CN=C2N=CN=C3N=CC=C1N23 1.876289 1.941160 -0.064871 0.009340
CNC1=NC2=NC=NC3=NC=CC(=C1)N23 2.458336 2.565358 -0.107022 0.011353
CNC1=NC2=NC=CC3=CC=NC(=N1)N23 2.386167 2.430390 -0.044223 0.031089
CNC1=CN=C2N=CN=C3N=CC=C1N23 1.936725 2.048759 -0.112034 0.006780
C=CC1=NC2=NC=NC3=NC=CC(=C1)N23 2.016306 2.154230 -0.137924 0.013345
C=CC1=NC2=NC=CC3=CC=NC(=N1)N23 2.012060 2.189164 -0.177104 0.002790
C=CC1=CN=C2N=CN=C3N=CC=C1N23 1.975021 2.131084 -0.156063 0.003996
C#CC1=NC2=NC=NC3=NC=CC(=C1)N23 1.947937 2.081632 -0.133695 0.010078
C#CC1=NC2=NC=CC3=CC=NC(=N1)N23 1.969400 2.148295 -0.178895 0.001710
C#CC1=CN=C2N=CN=C3N=CC=C1N23 2.008379 2.181517 -0.173138 0.004475
[C-]#[N+]C1=NC2=NC=NC3=NC=CC(=C1)N23 1.991226 2.141907 -0.150681 0.008560
[C-]#[N+]C1=NC2=NC=CC3=CC=NC(=N1)N23 2.042539 2.210140 -0.167601 0.002954
[C-]#[N+]C1=CN=C2N=CN=C3N=CC=C1N23 2.007020 2.181039 -0.174019 0.004271
N#CC1=NC2=NC=NC3=NC=CC(=C1)N23 1.916617 2.018583 -0.101966 0.009022
N#CC1=NC2=NC=CC3=CC=NC(=N1)N23 1.965941 2.127406 -0.161465 0.001101
N#CC1=CN=C2N=CN=C3N=CC=C1N23 2.081446 2.275236 -0.19379 0.003271
CN(C)C1=NC2=NC=NC3=NC=CC(=C1)N23 2.441284 2.558231 -0.116947 0.014199
CN(C)C1=NC2=NC=CC3=CC=NC(=N1)N23 2.389111 2.433359 -0.044248 0.030476
CN(C)C1=CN=C2N=CN=C3N=CC=C1N23 1.933501 2.038937 -0.105436 0.006657
